Rank,Schulze_Rank,Win_Based_Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,Original_index,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0.0,0.21428571428571427,0.14285714285714285,"First by Stein and Rapoport: 0.05: (D, D)",2.5835714285714286,0.6029285714285715,10.0,1.0,5,0.5591428571428572,0.0437857142857142,0.128,0.2690714285714286,0.9809954061473816,0.2389372822299652,0.5916052453892748,0.0
0.07142857142857142,0.8571428571428571,0.8571428571428571,First by Grofman,2.5275,0.8483571428571428,1.0,1.0,3,0.7040000000000001,0.1443571428571428,0.068,0.0836428571428571,1.0,0.263313075867346,0.2710634253026963,1.0
0.14285714285714285,0.5,0.7142857142857143,First by Shubik,2.5082142857142857,0.6134285714285714,3.0,1.0,4,0.568857142857143,0.0445714285714285,0.1032857142857143,0.2832857142857142,1.0,0.0,0.1428963796745816,0.1114886434236734
0.21428571428571427,0.9285714285714286,0.9285714285714286,Tit For Tat,2.4925,0.7173571428571428,0.0,1.0,0,0.6408571428571429,0.0765,0.0742857142857143,0.2083571428571428,1.0,0.0,1.0,0.0
0.2857142857142857,1.0,1.0,First by Nydegger,2.461071428571429,0.996,0.0,1.0,2,0.8167142857142856,0.1792857142857143,0.0017857142857142,0.0022142857142857,0.9998518079430944,0.9973475381052626,0.2159090909090909,0.3942307692307692
0.35714285714285715,0.14285714285714285,0.07142857142857142,"First by Tideman and Chieruzzi: (D, D)",2.458928571428572,0.5972857142857143,11.0,1.0,1,0.5800000000000001,0.0172857142857142,0.0804285714285714,0.3222857142857142,0.996791164730096,0.0837359098228663,0.3792023949610013,0.0
0.42857142857142855,0.2857142857142857,0.42857142857142855,Grudger,2.4010714285714285,0.5379285714285714,5.0,1.0,6,0.5347142857142857,0.0032142857142857,0.0842857142857143,0.3777857142857143,1.0,0.0,0.0,0.0
0.5,0.35714285714285715,0.5,First by Davis: 10,2.399642857142857,0.5475714285714286,4.0,1.0,7,0.5387857142857143,0.0087857142857142,0.0822142857142857,0.3702142857142858,0.9798025334490972,0.8559593428014481,0.0,0.0
0.5714285714285714,0.5714285714285714,0.5714285714285714,First by Graaskamp: 0.05,2.262857142857143,0.5655714285714286,4.0,1.0,8,0.4139285714285713,0.151642857142857,0.1546428571428571,0.2797857142857142,0.937803005149685,0.7103670898574086,0.8618953949327742,0.2756882545801319
0.6428571428571429,0.6428571428571429,0.35714285714285715,First by Downing,2.2375,0.3625714285714285,7.0,0.0,9,0.2773571428571428,0.0852142857142857,0.1842857142857142,0.4531428571428571,0.9889581095596134,0.7383908659557544,0.2543701453544336,0.3828128370521102
0.7142857142857143,0.07142857142857142,0.21428571428571427,"First by Feld: 1.0, 0.5, 200",1.9021428571428567,0.2903571428571428,10.0,1.0,10,0.2318571428571428,0.0584999999999999,0.1293571428571428,0.5802857142857143,0.8872295863797486,0.0,0.8108457137887137,0.0
0.7857142857142857,0.42857142857142855,0.2857142857142857,First by Tullock,1.8335714285714289,0.3113571428571428,8.0,1.0,12,0.2408571428571428,0.0705,0.0942142857142857,0.5944285714285714,0.8356304464687224,0.53024108419896,0.6123107203926967,0.1083701896347425
0.8571428571428571,0.0,0.0,First by Joss: 0.9,1.7742857142857142,0.2895,11.0,1.0,11,0.2280714285714285,0.0614285714285714,0.0933571428571428,0.6171428571428572,0.8627026931054811,0.0,0.910712317912031,0.0
0.9285714285714286,0.7142857142857143,0.7857142857142857,First by Anonymous,1.6410714285714287,0.505,3.0,0.4428571428571428,13,0.1755,0.3295,0.1650714285714285,0.3299285714285714,0.5532512289526538,0.4934174950987939,0.475500039787131,0.5042838572146441
1.0,0.7857142857142857,0.6428571428571429,Random: 0.5,1.6207142857142858,0.5027142857142857,3.0,0.5142857142857142,14,0.1712142857142857,0.3314999999999999,0.1628571428571428,0.3344285714285714,0.504057939588016,0.5136637813716519,0.4784777809550146,0.497316808493765
