Rank,Schulze_Rank,Win_Based_Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,Original_index,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,3,2,"First by Stein and Rapoport: 0.05: (D, D)",2.5732142857142857,0.5959285714285715,10.0,1.0,5,0.5521428571428572,0.0437857142857142,0.1318571428571428,0.2722142857142857,0.9845306809592522,0.2429029304029304,0.5865596887256072,0.0
1,12,12,First by Grofman,2.5282142857142857,0.8470714285714286,1.0,1.0,3,0.7014285714285714,0.1456428571428571,0.0675,0.0854285714285714,1.0,0.2581446952178945,0.2822057222005629,1.0
2,7,9,First by Shubik,2.509642857142857,0.6167857142857143,3.0,1.0,4,0.5724285714285714,0.0443571428571428,0.1025,0.2807142857142857,1.0,0.0,0.1517297396092157,0.1094186677652161
3,13,13,Tit For Tat,2.4989285714285714,0.7197142857142858,0.0,1.0,0,0.6477142857142857,0.072,0.0699999999999999,0.2102857142857142,1.0,0.0,1.0,0.0
4,14,14,First by Nydegger,2.4692857142857143,0.9956428571428572,0.0,1.0,2,0.8164285714285714,0.1792142857142857,0.0025,0.0018571428571428,0.9997005091344714,0.9873987517383768,0.7272727272727273,0.7098214285714286
5,1,0,"First by Tideman and Chieruzzi: (D, D)",2.4564285714285714,0.5917142857142857,11.0,1.0,1,0.5747857142857143,0.0169285714285714,0.0815714285714285,0.3267142857142858,0.9940380883201017,0.0238095238095238,0.3665491806287114,0.0
6,4,6,Grudger,2.4175,0.541,5.0,1.0,6,0.5377857142857143,0.0032142857142857,0.0852142857142857,0.3737857142857143,1.0,0.0,0.0,0.0
7,5,7,First by Davis: 10,2.393571428571428,0.5482857142857143,4.0,1.0,7,0.5393571428571428,0.0089285714285714,0.081,0.3707142857142857,0.984659863945578,0.8378565878565879,0.0,0.0
8,8,8,First by Graaskamp: 0.05,2.3085714285714287,0.5725714285714286,4.0,1.0,8,0.4182857142857142,0.1542857142857143,0.1561428571428571,0.2712857142857143,0.9383534281723562,0.6705329664717383,0.8652991703266358,0.2258978762489096
9,9,5,First by Downing,2.2417857142857143,0.3344285714285714,7.0,0.0,9,0.2638571428571429,0.0705714285714285,0.1978571428571428,0.4677142857142857,0.9928571428571428,0.6336805555555556,0.2557830440840772,0.4107638898576651
10,2,3,"First by Feld: 1.0, 0.5, 200",1.9064285714285716,0.2996428571428571,9.0,1.0,10,0.2391428571428571,0.0605,0.1300714285714286,0.5702857142857143,0.8886557930532167,0.0,0.8412997408845533,0.0
11,0,1,First by Joss: 0.9,1.7989285714285714,0.3167142857142857,11.0,1.0,11,0.2554285714285714,0.0612857142857142,0.093,0.5902857142857142,0.9028783429983466,0.0,0.8855959246184414,0.0
12,6,4,First by Tullock,1.7835714285714286,0.2997142857142857,8.0,1.0,12,0.2344285714285714,0.0652857142857143,0.0915,0.6087857142857144,0.8379655486455861,0.5126987635065976,0.587504642853063,0.0977348577191092
13,10,10,First by Anonymous,1.635,0.5050714285714286,3.0,0.5,13,0.1649285714285714,0.3401428571428571,0.1606428571428571,0.3342857142857142,0.4744365380197787,0.5087108019345307,0.4964466819757058,0.500493584190243
14,11,11,Random: 0.5,1.606428571428571,0.5017857142857143,3.0,0.6285714285714286,14,0.1607142857142857,0.3410714285714285,0.1558571428571428,0.3423571428571428,0.4936461453310596,0.4880450236758102,0.5079133564618492,0.53309877428811
