Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,Original_index,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
11,"Omega TFT: 3, 8",2.8176233183856505,0.7442959641255605,37.0,1.0,118,0.732282511210762,0.012013452914798196,0.09033632286995523,0.16536771300448436,0.9999445045773934,0.20607912222944053,0.6050394180495502,0.008486559382799928
12,Original Gradual,2.7965695067264575,0.8072914798206278,38.0,1.0,121,0.7690717488789236,0.03821973094170403,0.07435874439461894,0.11834977578475338,1.0,0.3756067555015695,0.3736867048619059,0.24733200118323567
13,Gradual,2.790717488789238,0.763744394618834,47.0,1.0,87,0.7429865470852017,0.02075784753363227,0.0809417040358745,0.1553139013452915,1.0,0.37208801296310945,0.3397050561847815,0.16189688442449007
14,PSO Gambler 2_2_2 Noise 05,2.7787892376681613,0.7420403587443947,41.0,1.0,124,0.6845650224215246,0.057475336322869955,0.11705381165919286,0.1409058295964126,0.8502394104671632,0.5316491839657113,0.7548943879831137,0.4345613919314034
15,Winner12,2.7733856502242156,0.6948923766816143,46.0,1.0,202,0.6557264573991033,0.03916591928251119,0.12520179372197307,0.17990582959641258,1.0,0.4442023074786757,0,0.4875211432855842
16,"DoubleCrosser: (D, D)",2.764775784753363,0.6930582959641256,170.0,1.0,41,0.6758116591928248,0.017246636771300446,0.10718385650224231,0.19975784753363224,0.996263958995736,0.806366360201374,0.44257283105052925,0
17,Second by Rowsam,2.760493273542601,0.7519282511210762,39.0,1.0,162,0.7234663677130044,0.02846188340807175,0.08516591928251117,0.16290582959641256,0.9299586084828613,0.7525042221767436,0.6254008356644464,0.25537105747401206
18,Second by Borufsen,2.758878923766816,0.8237892376681615,18.0,1.0,148,0.7825291479820626,0.04126008968609865,0.05982959641255612,0.11638116591928255,0.9988065209823517,0.17935422521573463,0.8175199027109695,0.13573783749419618
19,Spiteful Tit For Tat,2.7557174887892377,0.6858520179372197,42.0,1.0,178,0.6499372197309417,0.03591479820627802,0.12243946188340807,0.19170852017937226,1.0,0,0.7730348573455952,0
20,"EugineNier: (D,)",2.7519506726457394,0.6631210762331838,186.0,1.0,46,0.6564439461883411,0.0066771300448430345,0.11127354260089672,0.22560538116591913,0.9965942354200953,0,0.474945122795791,0
21,Second by GraaskampKatzen,2.74914798206278,0.6813318385650224,45.0,1.0,155,0.6699730941704036,0.01135874439461882,0.10452914798206284,0.21413901345291483,0.9950703311303878,0,0.5589060019541711,0
22,Forgetful Fool Me Once: 0.05,2.7481614349775785,0.762152466367713,49.0,1.0,72,0.732439461883408,0.029713004484304934,0.07853363228699554,0.1593139013452915,1.0,0.6553053353093049,0.06604644846402673,0.047909244438605635
23,Revised Downing,2.7454035874439464,0.8049013452914798,25.0,1.0,143,0.747322869955157,0.05757847533632284,0.07704484304932731,0.11805381165919278,0.9835713146745004,0.7726107256278705,0.48763097122431853,0.2628953240857506
24,Fool Me Once,2.743834080717489,0.6337937219730941,56.0,1.0,71,0.6293318385650224,0.004461883408071751,0.12293273542600897,0.24327354260089687,1.0,0.5841121495327103,0,0
