Rank,Schulze_Rank,Win_Based_Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,Original_index,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0.0,0.43946188340807174,0.695067264573991,Evolved FSM 6,2.88890134529148,0.7965156950672646,39.0,1.0,54,0.7430582959641255,0.0534573991031389,0.1151076233183857,0.0883766816143497,0.9408999757766912,0.3747192100335274,0.7637726511897847,0.2176020695821632
0.004484304932735426,0.5246636771300448,0.5964125560538116,EvolvedLookerUp2_2_2,2.882937219730941,0.7548385650224215,49.0,1.0,57,0.6845515695067265,0.070286995515695,0.1464573991031389,0.0987040358744394,0.8703942453253748,0.4714850122798541,0.5688273098489078,0.8724063228873915
0.008968609865470852,0.5112107623318386,0.6681614349775785,Evolved HMM 5,2.8567937219730943,0.7613318385650224,42.0,1.0,55,0.7152600896860987,0.0460717488789237,0.1193183856502241,0.1193497757847533,0.998923704180377,0.5153145952139823,0.0294782136550482,0.2128678776583766
0.013452914798206279,0.34080717488789236,0.6457399103139013,Evolved ANN,2.853542600896861,0.7472600896860987,45.0,1.0,48,0.7292017937219729,0.0180582959641255,0.103067264573991,0.1496726457399104,0.9866498096339296,0.8303737948210183,0.5263918254776141,0.3035416171794246
0.017937219730941704,0.3632286995515695,0.6547085201793722,Evolved ANN 5,2.853430493273543,0.7287982062780269,44.0,1.0,49,0.7110269058295964,0.0177713004484304,0.1122825112107623,0.1589192825112107,1.0,0.7374409243705407,0.0,0.3935121942278728
0.02242152466367713,0.6053811659192825,0.48878923766816146,Evolved FSM 16,2.85,0.7215650224215246,63.0,1.0,51,0.6359865470852017,0.0855784753363229,0.167865470852018,0.1105695067264574,0.8271113057433434,0.6030082052742266,0.5405387977509827,0.3446923715299302
0.026905829596412557,0.3991031390134529,0.6233183856502242,PSO Gambler Mem1,2.8438340807174884,0.738780269058296,46.0,1.0,125,0.6993901345291479,0.0393901345291479,0.1188609865470853,0.1423587443946188,1.0,0.5159239243211148,0.0,0.1382833641792381
0.03139013452914798,0.45739910313901344,0.6502242152466368,PSO Gambler 2_2_2,2.8410313901345288,0.7020044843049328,45.0,1.0,123,0.6316278026905832,0.0703766816143497,0.161896860986547,0.1360986547085201,0.8838178373118339,0.4240032244044884,0.5240261114225753,0.4107018858544594
0.03587443946188341,0.6098654708520179,0.7174887892376681,Evolved FSM 4,2.8394170403587444,0.7871928251121076,38.0,1.0,53,0.6958385650224214,0.0913542600896861,0.134322869955157,0.0784843049327354,0.9423318218994762,0.4506642377426557,0.0,0.79220181869489
0.04035874439461883,0.4349775784753363,0.6322869955156951,Evolved FSM 16 Noise 05,2.833251121076233,0.7345156950672646,46.0,1.0,52,0.7124798206278025,0.0220358744394618,0.1093766816143499,0.1561076233183857,0.9830774209018288,0.583588988410667,0.424318191062063,0.0897889459078709
0.04484304932735426,0.40358744394618834,0.5829596412556054,PSO Gambler 1_1_1,2.831681614349776,0.7133228699551569,50.0,1.0,122,0.6808520179372197,0.0324708520179372,0.1256547085201793,0.1610224215246636,1.0,0.3248195626540692,0.0,0.1331298577862548
0.04932735426008968,0.2645739910313901,0.7309417040358744,"Omega TFT: 3, 8",2.8176233183856505,0.7442959641255605,37.0,1.0,118,0.732282511210762,0.0120134529147981,0.0903363228699552,0.1653677130044843,0.9999445045773934,0.2060791222294405,0.6050394180495502,0.0084865593827999
0.053811659192825115,0.37668161434977576,0.7130044843049327,Original Gradual,2.796569506726457,0.8072914798206278,38.0,1.0,121,0.7690717488789236,0.038219730941704,0.0743587443946189,0.1183497757847533,1.0,0.3756067555015695,0.3736867048619059,0.2473320011832356
0.05829596412556054,0.30493273542600896,0.6143497757847534,Gradual,2.790717488789238,0.763744394618834,47.0,1.0,87,0.7429865470852017,0.0207578475336322,0.0809417040358745,0.1553139013452915,1.0,0.3720880129631094,0.3397050561847815,0.16189688442449
0.06278026905829596,0.48878923766816146,0.6771300448430493,PSO Gambler 2_2_2 Noise 05,2.7787892376681613,0.7420403587443947,41.0,1.0,124,0.6845650224215246,0.0574753363228699,0.1170538116591928,0.1409058295964126,0.8502394104671632,0.5316491839657113,0.7548943879831137,0.4345613919314034
0.06726457399103139,0.20179372197309417,0.6278026905829597,Winner12,2.773385650224216,0.6948923766816143,46.0,1.0,202,0.6557264573991033,0.0391659192825111,0.125201793721973,0.1799058295964125,1.0,0.4442023074786757,0.0,0.4875211432855842
0.07174887892376682,0.3901345291479821,0.1031390134529148,"DoubleCrosser: (D, D)",2.764775784753363,0.6930582959641256,170.0,1.0,41,0.6758116591928248,0.0172466367713004,0.1071838565022423,0.1997578475336322,0.996263958995736,0.806366360201374,0.4425728310505292,0.0
0.07623318385650224,0.3721973094170404,0.7040358744394619,Second by Rowsam,2.760493273542601,0.7519282511210762,39.0,1.0,162,0.7234663677130044,0.0284618834080717,0.0851659192825111,0.1629058295964125,0.9299586084828612,0.7525042221767436,0.6254008356644464,0.255371057474012
0.08071748878923767,0.39461883408071746,0.8340807174887892,Second by Borufsen,2.758878923766816,0.8237892376681615,18.0,1.0,148,0.7825291479820626,0.0412600896860986,0.0598295964125561,0.1163811659192825,0.9988065209823516,0.1793542252157346,0.8175199027109695,0.1357378374941961
0.08520179372197309,0.15695067264573992,0.6816143497757847,Spiteful Tit For Tat,2.7557174887892377,0.6858520179372197,42.0,1.0,178,0.6499372197309417,0.035914798206278,0.122439461883408,0.1917085201793722,1.0,0.0,0.7730348573455952,0.0
